term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
ligne,15,téléphone,15,cabine,donc,ligne,15,cabine
bis,15,téléphone,15,cabine,donc,bis,15,cabine
client,15,téléphone,15,cabine,donc,client,15,cabine
divorce,15,téléphone,15,cabine,donc,divorce,15,cabine
communication,15,téléphone,15,salon,donc,communication,15,salon
fil,15,téléphone,15,salon,donc,fil,15,salon
ligne,15,téléphone,15,salon,donc,ligne,15,salon
bis,15,téléphone,15,salon,donc,bis,15,salon
client,15,téléphone,15,salon,donc,client,15,salon
divorce,15,téléphone,15,salon,donc,divorce,15,salon
communication,15,téléphone,15,"salle de rédaction",donc,communication,15,"salle de rédaction"
fil,15,téléphone,15,"salle de rédaction",donc,fil,15,"salle de rédaction"
ligne,15,téléphone,15,"salle de rédaction",donc,ligne,15,"salle de rédaction"
bis,15,téléphone,15,"salle de rédaction",donc,bis,15,"salle de rédaction"
client,15,téléphone,15,"salle de rédaction",donc,client,15,"salle de rédaction"
divorce,15,téléphone,15,"salle de rédaction",donc,divorce,15,"salle de rédaction"
communication,15,téléphone,15,"poche de pantalon",donc,communication,15,"poche de pantalon"
fil,15,téléphone,15,"poche de pantalon",donc,fil,15,"poche de pantalon"
ligne,15,téléphone,15,"poche de pantalon",donc,ligne,15,"poche de pantalon"
bis,15,téléphone,15,"poche de pantalon",donc,bis,15,"poche de pantalon"
client,15,téléphone,15,"poche de pantalon",donc,client,15,"poche de pantalon"
divorce,15,téléphone,15,"poche de pantalon",donc,divorce,15,"poche de pantalon"
communication,15,téléphone,15,"poche de manteau",donc,communication,15,"poche de manteau"
fil,15,téléphone,15,"poche de manteau",donc,fil,15,"poche de manteau"
ligne,15,téléphone,15,"poche de manteau",donc,ligne,15,"poche de manteau"
bis,15,téléphone,15,"poche de manteau",donc,bis,15,"poche de manteau"
client,15,téléphone,15,"poche de manteau",donc,client,15,"poche de manteau"
divorce,15,téléphone,15,"poche de manteau",donc,divorce,15,"poche de manteau"
communication,15,téléphone,15,entreprise,donc,communication,15,entreprise
fil,15,téléphone,15,entreprise,donc,fil,15,entreprise
ligne,15,téléphone,15,entreprise,donc,ligne,15,entreprise
bis,15,téléphone,15,entreprise,donc,bis,15,entreprise
client,15,téléphone,15,entreprise,donc,client,15,entreprise
divorce,15,téléphone,15,entreprise,donc,divorce,15,entreprise
communication,15,téléphone,15,"chambre d'hôtel",donc,communication,15,"chambre d'hôtel"
fil,15,téléphone,15,"chambre d'hôtel",donc,fil,15,"chambre d'hôtel"
ligne,15,téléphone,15,"chambre d'hôtel",donc,ligne,15,"chambre d'hôtel"
bis,15,téléphone,15,"chambre d'hôtel",donc,bis,15,"chambre d'hôtel"
client,15,téléphone,15,"chambre d'hôtel",donc,client,15,"chambre d'hôtel"
divorce,15,téléphone,15,"chambre d'hôtel",donc,divorce,15,"chambre d'hôtel"
communication,15,téléphone,15,"table de chevet",donc,communication,15,"table de chevet"
fil,15,téléphone,15,"table de chevet",donc,fil,15,"table de chevet"
ligne,15,téléphone,15,"table de chevet",donc,ligne,15,"table de chevet"
bis,15,téléphone,15,"table de chevet",donc,bis,15,"table de chevet"
client,15,téléphone,15,"table de chevet",donc,client,15,"table de chevet"
divorce,15,téléphone,15,"table de chevet",donc,divorce,15,"table de chevet"
communication,15,téléphone,15,autoroute,donc,communication,15,autoroute
fil,15,téléphone,15,autoroute,donc,fil,15,autoroute
ligne,15,téléphone,15,autoroute,donc,ligne,15,autoroute
bis,15,téléphone,15,autoroute,donc,bis,15,autoroute
client,15,téléphone,15,autoroute,donc,client,15,autoroute
divorce,15,téléphone,15,autoroute,donc,divorce,15,autoroute
communication,15,téléphone,15,"sac à main",donc,communication,15,"sac à main"
fil,15,téléphone,15,"sac à main",donc,fil,15,"sac à main"
ligne,15,téléphone,15,"sac à main",donc,ligne,15,"sac à main"
bis,15,téléphone,15,"sac à main",donc,bis,15,"sac à main"
