term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
"Nouvelle politique économique",42,révolution,42,révolte,donc,"Nouvelle politique économique",42,révolte
"faire jour",42,révolution,42,révolte,donc,"faire jour",42,révolte
"faire nuit",42,révolution,42,révolte,donc,"faire nuit",42,révolte
printemps,42,révolution,42,révolte,donc,printemps,42,révolte
démocratie,42,révolution,42,faim,donc,démocratie,42,faim
changement,42,révolution,42,faim,donc,changement,42,faim
"prisonnier politique",42,révolution,42,faim,donc,"prisonnier politique",42,faim
"acte de violence",42,révolution,42,faim,donc,"acte de violence",42,faim
chambardement,42,révolution,42,faim,donc,chambardement,42,faim
"saison estivale",42,révolution,42,faim,donc,"saison estivale",42,faim
"crise humanitaire",42,révolution,42,faim,donc,"crise humanitaire",42,faim
délivrance,42,révolution,42,faim,donc,délivrance,42,faim
abolition,42,révolution,42,faim,donc,abolition,42,faim
"nouvelle politique économique",42,révolution,42,faim,donc,"nouvelle politique économique",42,faim
NEP,42,révolution,42,faim,donc,NEP,42,faim
"Nouvelle politique économique",42,révolution,42,faim,donc,"Nouvelle politique économique",42,faim
"faire jour",42,révolution,42,faim,donc,"faire jour",42,faim
"faire nuit",42,révolution,42,faim,donc,"faire nuit",42,faim
printemps,42,révolution,42,faim,donc,printemps,42,faim
démocratie,42,révolution,42,exclusion,donc,démocratie,42,exclusion
changement,42,révolution,42,exclusion,donc,changement,42,exclusion
"prisonnier politique",42,révolution,42,exclusion,donc,"prisonnier politique",42,exclusion
"acte de violence",42,révolution,42,exclusion,donc,"acte de violence",42,exclusion
chambardement,42,révolution,42,exclusion,donc,chambardement,42,exclusion
"saison estivale",42,révolution,42,exclusion,donc,"saison estivale",42,exclusion
"crise humanitaire",42,révolution,42,exclusion,donc,"crise humanitaire",42,exclusion
délivrance,42,révolution,42,exclusion,donc,délivrance,42,exclusion
abolition,42,révolution,42,exclusion,donc,abolition,42,exclusion
"nouvelle politique économique",42,révolution,42,exclusion,donc,"nouvelle politique économique",42,exclusion
NEP,42,révolution,42,exclusion,donc,NEP,42,exclusion
"Nouvelle politique économique",42,révolution,42,exclusion,donc,"Nouvelle politique économique",42,exclusion
"faire jour",42,révolution,42,exclusion,donc,"faire jour",42,exclusion
"faire nuit",42,révolution,42,exclusion,donc,"faire nuit",42,exclusion
printemps,42,révolution,42,exclusion,donc,printemps,42,exclusion
démocratie,42,révolution,42,oppression,donc,démocratie,42,oppression
changement,42,révolution,42,oppression,donc,changement,42,oppression
"prisonnier politique",42,révolution,42,oppression,donc,"prisonnier politique",42,oppression
"acte de violence",42,révolution,42,oppression,donc,"acte de violence",42,oppression
chambardement,42,révolution,42,oppression,donc,chambardement,42,oppression
"saison estivale",42,révolution,42,oppression,donc,"saison estivale",42,oppression
"crise humanitaire",42,révolution,42,oppression,donc,"crise humanitaire",42,oppression
délivrance,42,révolution,42,oppression,donc,délivrance,42,oppression
abolition,42,révolution,42,oppression,donc,abolition,42,oppression
"nouvelle politique économique",42,révolution,42,oppression,donc,"nouvelle politique économique",42,oppression
NEP,42,révolution,42,oppression,donc,NEP,42,oppression
"Nouvelle politique économique",42,révolution,42,oppression,donc,"Nouvelle politique économique",42,oppression
"faire jour",42,révolution,42,oppression,donc,"faire jour",42,oppression
"faire nuit",42,révolution,42,oppression,donc,"faire nuit",42,oppression
printemps,42,révolution,42,oppression,donc,printemps,42,oppression
démocratie,42,révolution,42,politique,donc,démocratie,42,politique
changement,42,révolution,42,politique,donc,changement,42,politique
"prisonnier politique",42,révolution,42,politique,donc,"prisonnier politique",42,politique
"acte de violence",42,révolution,42,politique,donc,"acte de violence",42,politique
chambardement,42,révolution,42,politique,donc,chambardement,42,politique
"saison estivale",42,révolution,42,politique,donc,"saison estivale",42,politique
"crise humanitaire",42,révolution,42,politique,donc,"crise humanitaire",42,politique
délivrance,42,révolution,42,politique,donc,délivrance,42,politique
abolition,42,révolution,42,politique,donc,abolition,42,politique
"nouvelle politique économique",42,révolution,42,politique,donc,"nouvelle politique économique",42,politique
NEP,42,révolution,42,politique,donc,NEP,42,politique
"Nouvelle politique économique",42,révolution,42,politique,donc,"Nouvelle politique économique",42,politique
